직업코드	직업명	등급	직업기술서	예시
24750	시민 단체 활동가	A	주로 ‘간사’로 불리며 정치, 복지, 주택, 고용, 여성, 청소년, 건강 등 사회 문제와 관련된 사회단체, 봉사단체, 시민단체에서 사회개발계획을 수립하고 집행하는 업무를 수행하는 자를 말한다.	사회단체간사, 사회단체활동가, 사회운동가, 시민단체활동가, 시민운동가, 인권운동가, 통일운동가
24799	기타 사회복지관련 종사원	B	상기 세분류에 포함되지 않는 유사한 직무를 수행하는 자로서 복지시설의 생활지도 및 기타 사회복지서비스를 제공하는 자를 말한다.	복지시설 생활지도원, 교육복지사, 복지도우미, 의료급여관리사
24811	성직자 및 종교인	A	종교예식이나 의식을 집행하고 관장하며 신자들에게 정신적, 도덕적 지도를 하는 사람으로 교리의 해설과 설교를 하며, 종교의식을 집행하는 자를 말한다. (무속인 제외)	목사(교목, 원목, 군목, 부목사), 전도사, 사제(주교, 신부), 부제, 수녀, 수사, 교무(원불교), 전교(대종교, 유교), 승려(스님, 법사)
25111	대학 교수 및 시간강사	A	대학교육 과정에서 담당과목을 교수하며 강의안 및 교재를 작성하고 관련 개념, 이론 및 운영기법에 관하여 연구, 개발 등의 업무를 수행하는 자를 말한다.	예술 및 인문학 교수, 사회과학 경영 및 법학 교수, 공학 교수, 교육 분야 강사 등
25211	중·고등학교 교사	A	국·공·사립의 중·고등학교에서 교육과정의 학습 내용을 가르치기 위하여 교과서, 시청각자료, 실험장치와 적절한 방법을 적용하여 중·고등학생들에게 교과목을 가르치고 평가하며 생활을 지도하는 업무를 수행하는 자를 말한다.	국어 교사 , 수학 교사 , 사회 교사 , 과학 교사 , 예체능 교사 , 실업 교사 , 외국어 교사 , 그 외 중·고등학교 교사
25220	초등학교 교사	A	국 · 공 · 사립 초등학교에서 학생들에게 규정된 교육과정을 가르치고 생활을 지도하는 업무를 수행하는 자를 말한다.	초등학교 선생님, 초등교사, 초등학교교사
25231	특수교육 교사	A	신체적·정신적 장애를 가진 사람에게 유치원, 초등학교, 중학교, 고등학교에 준하는 교육과 생활에 필요한 지식 및 기능을 가르치는 업무를 수행하는 자를 말한다.	시각장애자 교사, 청각장애자 교사, 정서장애자 교사, 특수교육 교사
25300	유치원 교사	A	유치원에서 취학 전 아동들의 지적, 정서적, 사회적 발달을 바람직한 방향으로 이끌어 주기 위해 제반 교육활동을 수행하는 자를 말한다.	유치원 교사, 유치원 선생님
25411	문리 및 어학 강사	A	수강생들에게 학교 교과목, 외국어, 각종 성인고시 과목에 관한 이론과 기술을 강의하는 자를 말한다.	국어 강사, 수학 강사, 사회 강사, 과학강사, 외국어 강사, 그 외 문리 및 어학 강사
25420	컴퓨터 강사	A	수강생들에게 정보처리 기술 분야, 컴퓨터 기술 분야에 관한 이론과 기술을 가르치며, 컴퓨터 학원 또는 정보통신 관련 교육기관 등에서 컴퓨터기초, 워드프로세서, 프로그래밍, 인터넷, 컴퓨터그래픽, 캐드, 캠, 전자출판(D.T.P), 애니메이션, 웹디자인, 산업디자인 등 컴퓨터에 관련된 이론과 실기를 지도하는 자를 말한다.	IT강사, 디지털실버인터넷강사, 앱개발강사, 오라클강사, 웹프로그래밍강사, 정보처리기술학원강사, 정보통신학원강사, 컴퓨터강사, 컴퓨터강사,과외, 컴퓨터강사,방과후, 컴퓨터기초강사, 컴퓨터프로그래밍강사, 컴퓨터학원강사, 코딩강사, 파이썬강사
25431	기술 및 기능계 강사	A	수강생들에게 산업기반기술 분야, 산업응용기술 분야, 정보처리기술 분야, 간호보조기술 분야, 문화 관광 분야 등에 관한 이론과 기술을 가르치는 자를 말한다.	디자인 강사 , 이·미용 강사 , 자동차 운전 강사 , 요리 강사 , 그 외 기술 및 기능계 강사
25432	운전 학원 실기강사	C	자동차 운전을 교습시키는 자로서 운전술을 설명하고 견습생과 동승하여 주요 기술의 시범을 보이고 운전관련 법령을 설명하는 자를 말한다.	운전교관, 운전면허감독관, 자동차기술학원강사, 자동차도로연수교관, 자동차운전강사, 자동차운전교관, 자동차운전학원강사, 전동차승무지도교관, 전동차승무지도원
25433	운전 학원 필기강사	A	자동차 운전을 교습시키는 자로서 운전술을 설명하고 운전관련 법령을 설명하는 자를 말한다.	운전 학원 필기강사
25441	예능 강사	A	수강생들에게 무용, 음악, 미술, 서예, 꽃꽂이 등 예능분야에 관한 이론과 기능을 가르치는 자를 말한다.	 음악 강사, 미술 강사, 무용 강사, 그 외 예능 강사
